
25.0 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.1 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.2 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.3 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.4 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.5 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.6 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.7 |         0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.8 |         0.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
25.9 |         0.2	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.0 |         0.4	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.1 |         0.7	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.2 |         1.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.3 |         1.9	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.4 |         3.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.5 |         4.7	       0.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.6 |         7.0	       0.2	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.7 |        10.2	       0.4	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.8 |        14.6	       0.6	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
26.9 |        20.4	       1.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.0 |        27.8	       1.8	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.1 |        37.3	       2.8	       0.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.2 |        49.0	       4.3	       0.2	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.3 |        63.3	       6.4	       0.3	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.4 |        80.5	       9.2	       0.5	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.5 |       101.0	      13.1	       0.9	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.6 |       125.1	      18.1	       1.4	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.7 |       153.0	      24.6	       2.3	       0.1	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.8 |       185.1	      32.7	       3.5	       0.2	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
27.9 |       221.6	      42.7	       5.1	       0.3	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
28.0 |       262.8	      54.8	       7.5	       0.5	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
28.1 |       309.0	      69.4	      10.6	       0.9	       0.0	       0.0	       0.0	       0.0	       0.0	       0.0	
28.2 |       360.5	      86.6	      14.6	       1.5	       0.1	       0.0	       0.0	       0.0	       0.0	       0.0	
