               6        6.5          7        7.5          8        8.5          9        9.5         10       10.5         11       11.5         12       12.5         13       13.5         14       14.5         15       15.5

27.450 |      3.639      1.008      0.225      0.039      0.005      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |      4.916
27.500 |      4.298      1.241      0.291      0.053      0.007      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |      5.892
27.550 |      5.046      1.517      0.374      0.073      0.011      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |      7.022
27.600 |      5.892      1.840      0.476      0.098      0.015      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |      8.323
27.650 |      6.844      2.216      0.599      0.131      0.022      0.003      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |      9.815
27.700 |      7.909      2.652      0.749      0.172      0.031      0.004      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     11.517
27.750 |      9.094      3.153      0.928      0.224      0.043      0.006      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     13.449
27.800 |     10.409      3.726      1.141      0.289      0.058      0.009      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     15.634
27.850 |     11.861      4.378      1.392      0.369      0.079      0.013      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     18.093
27.900 |     13.458      5.114      1.686      0.468      0.105      0.019      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     20.852
27.950 |     15.208      5.943      2.027      0.587      0.139      0.026      0.004      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     23.934
28.000 |     17.118      6.870      2.423      0.730      0.182      0.036      0.006      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     27.366
28.050 |     19.196      7.904      2.877      0.902      0.235      0.050      0.008      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     31.172
28.100 |     21.451      9.050      3.395      1.104      0.301      0.067      0.012      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     35.382
28.150 |     23.888     10.317      3.984      1.343      0.382      0.090      0.017      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     40.023
28.200 |     26.516     11.710      4.648      1.621      0.481      0.119      0.024      0.004      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     45.123
28.250 |     29.341     13.238      5.395      1.943      0.600      0.156      0.033      0.005      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     50.712
28.300 |     32.370     14.906      6.231      2.315      0.742      0.202      0.045      0.008      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     56.821
28.350 |     35.611     16.722      7.161      2.741      0.911      0.259      0.061      0.011      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     63.480
28.400 |     39.070     18.692      8.192      3.226      1.110      0.329      0.081      0.016      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     70.720
28.450 |     42.754     20.823      9.330      3.775      1.343      0.414      0.107      0.023      0.004      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     78.574
28.500 |     46.669     23.121     10.581      4.394      1.613      0.517      0.140      0.031      0.005      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     87.074
28.550 |     50.822     25.593     11.952      5.088      1.925      0.641      0.182      0.043      0.008      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |     96.254
28.600 |     55.218     28.245     13.448      5.862      2.283      0.787      0.233      0.057      0.011      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    106.147
28.650 |     59.865     31.083     15.075      6.723      2.692      0.959      0.295      0.077      0.016      0.003      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    116.788
28.700 |     64.768     34.113     16.840      7.674      3.155      1.161      0.372      0.101      0.023      0.004      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    128.212
28.750 |     69.935     37.341     18.748      8.723      3.678      1.396      0.464      0.132      0.031      0.006      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    140.454
28.800 |     75.371     40.773     20.804      9.874      4.265      1.667      0.574      0.170      0.042      0.008      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    153.550
28.850 |     81.082     44.414     23.015     11.133      4.921      1.978      0.705      0.217      0.057      0.012      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    167.536
28.900 |     87.076     48.270     25.386     12.505      5.651      2.334      0.859      0.275      0.075      0.017      0.003      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    182.451
28.950 |     93.358     52.348     27.923     13.996      6.459      2.737      1.039      0.346      0.099      0.023      0.004      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    198.332
29.000 |     99.936     56.652     30.630     15.610      7.351      3.192      1.248      0.430      0.128      0.032      0.007      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    215.218
29.050 |    106.817     61.189     33.513     17.353      8.331      3.704      1.490      0.532      0.165      0.043      0.009      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    233.147
29.100 |    114.006     65.964     36.578     19.229      9.404      4.276      1.767      0.651      0.210      0.058      0.013      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    252.160
29.150 |    121.513     70.983     39.830     21.245     10.575      4.913      2.084      0.792      0.265      0.076      0.018      0.004      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    272.297
29.200 |    129.343     76.252     43.273     23.404     11.848      5.619      2.443      0.957      0.332      0.099      0.025      0.005      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    293.600
29.250 |    137.505     81.776     46.913     25.712     13.228      6.398      2.848      1.148      0.412      0.128      0.034      0.007      0.001      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    316.111
29.300 |    146.007     87.562     50.754     28.173     14.719      7.254      3.304      1.369      0.507      0.164      0.046      0.011      0.002      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    339.873
29.350 |    154.857     93.617     54.803     30.793     16.327      8.192      3.813      1.621      0.620      0.209      0.061      0.015      0.003      0.000      0.000      0.000      0.000      0.000      0.000      0.000  |    364.930
29.400 |    164.064     99.946     59.065     33.575     18.055      9.216      4.379      1.909      0.752      0.262      0.079      0.020      0.004      0.001      0.000      0.000      0.000      0.000      0.000      0.000  |    391.328
29.450 |    173.637    106.556     63.544     36.524     19.907     10.330      5.007      2.236      0.906      0.327      0.103      0.028      0.006      0.001      0.000      0.000      0.000      0.000      0.000      0.000  |    419.111
29.500 |    183.584    113.453     68.246     39.646     21.889     11.539      5.699      2.604      1.084      0.404      0.132      0.037      0.009      0.002      0.000      0.000      0.000      0.000      0.000      0.000  |    448.328
29.550 |    193.916    120.645     73.176     42.944     24.005     12.845      6.461      3.017      1.289      0.496      0.169      0.050      0.012      0.003      0.000      0.000      0.000      0.000      0.000      0.000  |    479.027
29.600 |    204.642    128.140     78.340     46.424     26.258     14.254      7.295      3.478      1.523      0.604      0.213      0.065      0.017      0.004      0.001      0.000      0.000      0.000      0.000      0.000  |    511.257
29.650 |    215.774    135.944     83.744     50.089     28.652     15.769      8.205      3.990      1.790      0.730      0.266      0.085      0.023      0.005      0.001      0.000      0.000      0.000      0.000      0.000  |    545.069
29.700 |    227.323    144.065     89.393     53.946     31.193     17.395      9.195      4.558      2.092      0.877      0.330      0.109      0.031      0.008      0.001      0.000      0.000      0.000      0.000      0.000  |    580.516
29.750 |    239.299    152.511     95.293     57.998     33.884     19.134     10.269      5.184      2.432      1.046      0.406      0.140      0.042      0.011      0.002      0.000      0.000      0.000      0.000      0.000  |    617.650
29.800 |    251.715    161.292    101.451     62.250     36.729     20.991     11.431      5.871      2.812      1.240      0.496      0.177      0.055      0.015      0.003      0.001      0.000      0.000      0.000      0.000  |    656.528
29.850 |    264.582    170.414    107.873     66.708     39.733     22.970     12.683      6.624      3.237      1.461      0.601      0.221      0.072      0.020      0.005      0.001      0.000      0.000      0.000      0.000  |    697.206
29.900 |    277.916    179.889    114.566     71.377     42.899     25.074     14.029      7.445      3.708      1.712      0.723      0.275      0.093      0.027      0.007      0.001      0.000      0.000      0.000      0.000  |    739.741
29.950 |    291.728    189.725    121.536     76.261     46.232     27.308     15.474      8.338      4.229      1.996      0.865      0.339      0.118      0.036      0.009      0.002      0.000      0.000      0.000      0.000  |    784.196
30.000 |    306.032    199.932    128.791     81.366     49.736     29.674     17.020      9.305      4.803      2.314      1.028      0.415      0.150      0.047      0.013      0.003      0.001      0.000      0.000      0.000  |    830.631
30.050 |    320.845    210.521    136.337     86.698     53.415     32.178     18.671     10.351      5.432      2.670      1.215      0.504      0.188      0.062      0.018      0.004      0.001      0.000      0.000      0.000  |    879.110
30.100 |    336.180    221.503    144.184     92.262     57.275     34.821     20.430     11.478      6.120      3.066      1.427      0.608      0.234      0.080      0.024      0.006      0.001      0.000      0.000      0.000  |    929.700
30.150 |    352.055    232.888    152.338     98.064     61.319     37.609     22.301     12.690      6.870      3.505      1.666      0.729      0.289      0.102      0.032      0.008      0.002      0.000      0.000      0.000  |    982.469
30.200 |    368.485    244.689    160.809    104.111     65.552     40.545     24.287     13.989      7.685      3.989      1.936      0.868      0.355      0.130      0.042      0.012      0.003      0.001      0.000      0.000  |   1037.486
30.250 |    385.488    256.917    169.604    110.408     69.979     43.633     26.392     15.379      8.567      4.521      2.238      1.027      0.431      0.163      0.055      0.016      0.004      0.001      0.000      0.000  |   1094.825
30.300 |    403.082    269.586    178.734    116.963     74.605     46.877     28.618     16.863      9.519      5.105      2.575      1.208      0.521      0.203      0.071      0.021      0.006      0.001      0.000      0.000  |   1154.560
30.350 |    421.286    282.709    188.207    123.782     79.435     50.281     30.969     18.444     10.545      5.741      2.949      1.414      0.625      0.251      0.091      0.029      0.008      0.002      0.000      0.000  |   1216.770
30.400 |    440.120    296.300    198.034    130.873     84.475     53.849     33.450     20.125     11.647      6.434      3.362      1.645      0.745      0.308      0.115      0.038      0.011      0.003      0.001      0.000  |   1281.534
30.450 |    459.603    310.373    208.225    138.242     89.729     57.585     36.062     21.909     12.829      7.185      3.817      1.905      0.883      0.375      0.144      0.049      0.015      0.004      0.001      0.000  |   1348.935
30.500 |    479.757    324.943    218.791    145.898     95.203     61.494     38.810     23.800     14.092      7.998      4.317      2.195      1.040      0.454      0.180      0.064      0.020      0.005      0.001      0.000  |   1419.060
30.550 |    500.603    340.026    229.742    153.849    100.904     65.580     41.698     25.799     15.439      8.875      4.862      2.517      1.218      0.545      0.222      0.081      0.026      0.007      0.002      0.000  |   1491.997
30.600 |    522.165    355.639    241.091    162.103    106.837     69.848     44.729     27.911     16.874      9.818      5.457      2.873      1.419      0.650      0.273      0.103      0.035      0.010      0.003      0.001  |   1567.838
30.650 |    544.466    371.797    252.850    170.670    113.009     74.302     47.906     30.139     18.399     10.831      6.104      3.266      1.644      0.771      0.332      0.130      0.045      0.014      0.004      0.001  |   1646.678
