#z	  phi*	          upper            lower

10.9	0.0010586948	0.0030901011	-0.0009727115
11	0.0010586941	0.0030900992	-0.0009727109
11.1	0.0010586936	0.0030900975	-0.0009727104
11.2	0.0010586931	0.0030900961	-0.0009727099
11.3	0.0010586926	0.0030900948	-0.0009727095
11.4	0.0010586923	0.0030900938	-0.0009727092
11.5	0.001058692	0.0030900928	-0.0009727089
11.6	0.0010586917	0.0030900921	-0.0009727087
11.7	0.0010586915	0.0030900914	-0.0009727085
11.8	0.0010586913	0.0030900908	-0.0009727083
11.9	0.0010586911	0.0030900903	-0.0009727081
12	0.0010586909	0.0030900898	-0.000972708
12.1	0.0010586908	0.0030900895	-0.0009727079
12.2	0.0010586907	0.0030900891	-0.0009727078
12.3	0.0010586906	0.0030900889	-0.0009727077
12.4	0.0010586905	0.0030900886	-0.0009727076
12.5	0.0010586904	0.0030900884	-0.0009727075
12.6	0.0010586904	0.0030900882	-0.0009727075
12.7	0.0010586903	0.0030900881	-0.0009727074
12.8	0.0010586903	0.0030900879	-0.0009727074
12.9	0.0010586902	0.0030900878	-0.0009727073
13	0.0010586902	0.0030900877	-0.0009727073
13.1	0.0010586902	0.0030900876	-0.0009727073
13.2	0.0010586902	0.0030900876	-0.0009727073
13.3	0.0010586901	0.0030900875	-0.0009727072
13.4	0.0010586901	0.0030900875	-0.0009727072
13.5	0.0010586901	0.0030900874	-0.0009727072
13.6	0.0010586901	0.0030900874	-0.0009727072
13.7	0.0010586901	0.0030900873	-0.0009727072
13.8	0.0010586901	0.0030900873	-0.0009727072
13.9	0.0010586901	0.0030900873	-0.0009727072
14	0.00105869	0.0030900873	-0.0009727072
14.1	0.00105869	0.0030900872	-0.0009727072
14.2	0.00105869	0.0030900872	-0.0009727071
14.3	0.00105869	0.0030900872	-0.0009727071
14.4	0.00105869	0.0030900872	-0.0009727071
14.5	0.00105869	0.0030900872	-0.0009727071
14.6	0.00105869	0.0030900872	-0.0009727071
14.7	0.00105869	0.0030900872	-0.0009727071
14.8	0.00105869	0.0030900872	-0.0009727071
14.9	0.00105869	0.0030900871	-0.0009727071
15	0.00105869	0.0030900871	-0.0009727071
15.1	0.00105869	0.0030900871	-0.0009727071
15.2	0.00105869	0.0030900871	-0.0009727071
15.3	0.00105869	0.0030900871	-0.0009727071
15.4	0.00105869	0.0030900871	-0.0009727071
15.5	0.00105869	0.0030900871	-0.0009727071
15.6	0.00105869	0.0030900871	-0.0009727071
15.7	0.00105869	0.0030900871	-0.0009727071
15.8	0.00105869	0.0030900871	-0.0009727071
