#"evolving fesc"
#z
25	0.00655993	0.00185177	0.0176173
24.9	0.00667487	0.00188421	0.0179261
24.8	0.00679228	0.00191734	0.0182415
24.7	0.00691222	0.00195119	0.0185637
24.6	0.00703476	0.00198578	0.0188929
24.5	0.00715996	0.00202111	0.0192292
24.4	0.00728789	0.00205722	0.0195729
24.3	0.00741863	0.00209411	0.0199241
24.2	0.00755224	0.00213182	0.0202831
24.1	0.00768881	0.00217036	0.0206499
24	0.0078284	0.00220976	0.021025
23.9	0.0079711	0.00225003	0.0214083
23.8	0.00811699	0.0022912	0.0218002
23.7	0.00826615	0.0023333	0.022201
23.6	0.00841868	0.00237634	0.0226107
23.5	0.00857466	0.00242036	0.0230298
23.4	0.00873418	0.00246538	0.0234583
23.3	0.00889734	0.00251143	0.0238967
23.2	0.00906424	0.00255853	0.0243451
23.1	0.00923499	0.00260671	0.0248038
23	0.00940967	0.00265601	0.0252731
22.9	0.00958841	0.00270645	0.0257533
22.8	0.00977131	0.00275807	0.0262447
22.7	0.0099585	0.00281089	0.0267475
22.6	0.0101501	0.00286496	0.0272622
22.5	0.0103462	0.0029203	0.0277891
22.4	0.0105469	0.00297695	0.0283284
22.3	0.0107525	0.00303495	0.0288806
22.2	0.0109629	0.00309434	0.029446
22.1	0.0111784	0.00315515	0.030025
22	0.0113991	0.00321743	0.0306179
21.9	0.0116251	0.00328122	0.0312252
21.8	0.0118567	0.00334656	0.0318472
21.7	0.0120939	0.00341349	0.0324845
21.6	0.0123369	0.00348207	0.0331374
21.5	0.0125859	0.00355234	0.0338064
21.4	0.0128411	0.00362435	0.034492
21.3	0.0131026	0.00369815	0.0351946
21.2	0.0133706	0.00377379	0.0359148
21.1	0.0136454	0.00385133	0.0366531
21	0.0139271	0.00393083	0.03741
20.9	0.014216	0.00401234	0.0381861
20.8	0.0145122	0.00409593	0.0389819
20.7	0.014816	0.00418165	0.0397981
20.6	0.0151276	0.00426958	0.0406352
20.5	0.0154472	0.00435977	0.041494
20.4	0.0157751	0.0044523	0.042375
20.3	0.0161115	0.00454725	0.043279
20.2	0.0164568	0.00464467	0.0442067
20.1	0.0168111	0.00474466	0.0451587
20	0.0171748	0.0048473	0.0461359
19.9	0.0175482	0.00495265	0.0471391
19.8	0.0179315	0.00506082	0.048169
19.7	0.0183251	0.00517189	0.0492266
19.6	0.0187293	0.00528595	0.0503127
19.5	0.0191445	0.0054031	0.0514281
19.4	0.0195709	0.00552343	0.0525739
19.3	0.0200091	0.00564706	0.0537511
19.2	0.0204592	0.00577408	0.0549606
19.1	0.0209218	0.00590461	0.0562035
19	0.0213972	0.00603876	0.0574809
18.9	0.0218859	0.00617666	0.058794
18.8	0.0223883	0.00631842	0.0601439
