z	best fit	lower limit	upper limit
9.8	0.303243	0.0934572	0.671238
9.7	0.315189	0.0973171	0.696095
9.6	0.327703	0.10137	0.722066
9.5	0.340816	0.105628	0.749211
9.4	0.354561	0.110103	0.77759
9.3	0.368975	0.114807	0.807271
9.2	0.384094	0.119754	0.838322
9.1	0.399959	0.124959	0.870818
9	0.416613	0.130438	0.904836
8.9	0.434102	0.136207	0.940462
8.8	0.452474	0.142285	0.977782
8.7	0.471781	0.14869	1.01689
8.6	0.492078	0.155444	
8.5	0.513425	0.162567	
8.4	0.535883	0.170085	
8.3	0.559521	0.178021	
8.2	0.584411	0.186403	
8.1	0.610629	0.195261	
8	0.638257	0.204625	
7.9	0.667384	0.21453	
7.8	0.698103	0.225011	
7.7	0.730516	0.236107	
7.6	0.764731	0.24786	
7.5	0.800864	0.260315	
7.4	0.839039	0.27352	
7.3	0.879389	0.287528	
7.2	0.922059	0.302396	
7.1	0.967203	0.318183	
7	1.01499	0.334957	
		0.352786	
		0.37175	
		0.391929	
		0.413415	
		0.436305	
		0.460703	
		0.486724	
		0.514493	
		0.544143	
		0.575822	
		0.609687	
		0.645913	
		0.684687	
		0.726214	
		0.770717	
		0.818442	
		0.869653	
		0.924643	
		0.983727	
		1.04726	
