#"redshift 6-7.5"			"redshift 7.5-8.5"			"redshift 8.54-10.1"			"redshift 10-14"
#f070w-f090w	f090w-f115w		f090w-f115w	f115w-f150w		Y-J	J-H		f115w-f150w	f150w-f200w		"y axis"	"x axis"
3.317	3.815		8.308	2.622		11.214	1.746		14.808	0.98897
6.217	8.246		11.713	2.869		15.581	5.307		50.169	14.807
5.037	4.109		9.79	2.518		12.997	2.362		29.201	2.6309
5.308	4.8		10.232	2.576		14.138	2.748		32.715	4.5539
5.344	5.139		10.423	2.617		14.472	2.96		32.97	7.413
3.498	3.8169		8.454	2.621		11.476	1.795		15.921	1.059
4.16	3.798		8.993	2.551		11.864	1.9289		19.555	1.436
5.2	4.35		9.975	2.538		13.439	2.502		30.751	3.289
5.393	8.0		11.514	2.779		15.177	4.687		46.773	14.45
3.938	3.792		8.809	2.598		11.71	1.87		18.785	1.3
4.331	3.808		9.124	2.528		12.0	1.98		20.387	1.567
5.343	5.089		10.392	2.6119		14.429	2.928		33.063	6.852
5.262	7.942		11.468	2.76		15.091	4.583		45.979	14.405
3.313	3.8140		8.3040	2.622		11.204	1.744		14.78	0.98702
5.342	5.254		10.509	2.614		14.554	3.03		32.543	8.8679
4.846	7.5190		11.238	2.694		14.752	4.172		41.694	14.206
3.805	3.793		8.696	2.636		11.64	1.846		18.289	1.2339
5.017	6.579		11.0	2.648		14.704	3.712		36.487	13.9
5.319	4.881		10.275	2.584		14.231	2.796		32.962	5.0
5.2129	6.0130		10.878	2.632		14.728	3.4780		33.779	13.503
5.271	5.805		10.806	2.625		14.735	3.372		32.681	13.096
5.151	4.253		9.908	2.53		13.262	2.45		30.228	3.015
4.58	3.857		9.291	2.514		12.216	2.064		22.311	1.764
5.342	5.1270		10.412	2.617		14.459	2.951		32.973	7.289
5.275	4.611		10.133	2.557		13.874	2.641		31.969	3.87
5.254	4.514		10.079	2.548		13.723	2.589		31.525	3.642
5.306	5.654		10.745	2.619		14.733	3.292		32.087	12.565
3.448	3.821		8.416	2.621		11.421	1.78		15.625	1.043
5.336	5.023		10.353	2.602		14.37	2.886		33.141	6.1459
4.3450	3.813		9.135	2.527		12.017	1.985		20.474	1.581
4.384	3.816		9.161	2.524		12.049	1.998		20.709	1.6120
4.14	3.796		8.976	2.556		11.85	1.923		19.476	1.423
3.348	3.818		8.335	2.619		11.279	1.754		15	1.0
5.337	5.317		10.553	2.616		14.592	3.069		32.265	9.691
3.41	3.8220		8.387	2.619		11.376	1.77		15.402	1.034
5.996	8.196		11.668	2.848		15.498	5.142		49.371	14.716
5.134	6.234		10.937	2.638		14.712	3.579		34.961	13.722
5.0160	4.087		9.761	2.519		12.942	2.341		28.946	2.565
3.903	3.792		8.782	2.609		11.692	1.864		18.694	1.288
5.39	8.0		11.513	2.778		15.174	4.683		46.755	14.447
5.077	6.41		10.973	2.643		14.708	3.645		35.754	13.821
4.816	7.206		11.135	2.671		14.695	3.9749		39.552	14.093
5.259	4.534		10.089	2.551		13.755	2.601		31.614	3.687
4.421	3.8240		9.187	2.5220		12.082	2.01		20.966	1.6429
5.938	8.181		11.658	2.841		15.471	5.099		49.146	14.691
5.247	7.933		11.462	2.759		15.08	4.573		45.885	14.4
4.907	3.9659		9.568	2.511		12.657	2.228		27.096	2.199
3.302	3.813		8.293	2.62		11.176	1.738		14.707	0.977
5.199	4.345		9.973	2.538		13.431	2.501		30.734	3.28
4.892	6.921		11.072	2.6579		14.692	3.844		38.064	14.02
5.343	5.1060		10.4	2.614		14.442	2.938		33.036	7.039
4.995	6.643		11.019	2.65		14.702	3.736		36.777	13.927
5.0	7.753		11.351	2.722		14.885	4.363		43.86	14.318
4.994	6.642		11.018	2.649		14.7	3.735		36.769	13.926
4.692	3.889		9.367	2.511		12.324	2.104		23.585	1.868
4.152	3.796		8.986	2.552		11.857	1.925		19.52	1.428
3.95	3.791		8.818	2.597		11.718	1.876		18.824	1.31
5.095	4.174		9.848	2.524		13.121	2.404		29.705	2.80
3.47	3.82		8.434	2.622		11.449	1.7870		15.763	1.0539
4.852	7.535		11.244	2.695		14.756	4.182		41.817	14.211
5.191	6.07		10.894	2.633		14.721	3.504		34.107	13.57
4.989	4.055		9.716	2.515		12.866	2.31		28.56	2.478
3.817	3.794		8.7110	2.63		11.647	1.848		18.364	1.241
4.807	7.307		11.163	2.677		14.709	4.029		40.176	14.124
5.343	5.17		10.447	2.616		14.493	2.978		32.86	7.803
5.292	4.711		10.185	2.566		14.017	2.695		32.376	4.176
5.853	8.157		11.637	2.832		15.429	5.036		48.813	14.649
4.929	3.985		9.607	2.513		12.708	2.247		27.529	2.272
4.126	3.798		8.965	2.559		11.839	1.921		19.42	1.415
4.9929	4.062		9.724	2.515		12.879	2.3160		28.635	2.492
4.936	3.994		9.619	2.514		12.723	2.254		27.658	2.298
6.234	8.25		11.717	2.871		15.589	5.32		50.234	14.815
3.547	3.812		8.493	2.624		11.503	1.803		16.248	1.080
3.673	3.799		8.588	2.634		11.558	1.818		17.219	1.144
4.811	7.256		11.148	2.674		14.701	3.9999		39.869	14.109
5.245	5.899		10.84	2.626		14.73	3.419		33.156	13.31
5.162	7.882		11.429	2.747		15.017	4.501		45.27	14.374
4.812	7.278		11.156	2.676		14.708	4.014		40.024	14.118
4.062	3.794		8.9120	2.57		11.789	1.899		19.173	1.367
4.986	6.667		11.023	2.651		14.7	3.745		36.895	13.937
5.263	4.558		10.102	2.554		13.793	2.613		31.733	3.737
6.195	8.241		11.707	2.867		15.57	5.29		50.08	14.798
5.209	4.371		9.99	2.539		13.477	2.513		30.849	3.347
4.759	3.913		9.416	2.512		12.398	2.132		24.5	1.944
5.197	4.342		9.971	2.538		13.427	2.5		30.72	3.274
5.335	5.384		10.599	2.614		14.632	3.113		32.061	10.465
4.0	3.793		8.868	2.583		11.754	1.887		19	1.339
5.33	5.464		10.646	2.6179		14.672	3.166		31.908	11.271
3.463	3.820		8.429	2.6219		11.441	1.784		15.713	1.053
4.284	3.804		9.089	2.534		11.964	1.966		20.13	1.531
4.2709	3.8050		9.080	2.5359		11.955	1.961		20.07	1.519
5.171	4.289		9.934	2.53		13.328	2.468		30.431	3.118
5.022	7.771		11.361	2.726		14.9	4.381		44.055	14.327
4.432	3.824		9.194	2.522		12.09	2.013		21.042	1.651
3.3240	3.817		8.314	2.622		11.228	1.748		14.846	0.994
4.86	7.0209		11.092	2.663		14.694	3.886		38.547	14.047
5.325	5.497		10.665	2.616		14.682	3.187		31.881	11.553
5.342	5.128		10.413	2.617		14.459	2.952		32.97	7.305
5.1639	4.278		9.9260	2.53		13.307	2.463		30.369	3.086
4.369	3.817		9.15	2.526		12.037	1.994		20.616	1.602
5.224	4.414		10.017	2.54		13.552	2.536		31.048	3.444
3.578	3.808		8.516	2.627		11.512	1.803		16.473	1.088
5.335	5.346		10.572	2.615		14.61	3.086		32.165	10.034
5.739	8.127		11.61	2.82		15.381	4.948		48.385	14.596
5.286	4.683		10.169	2.564		13.977	2.679		32.265	4.075
3.434	3.821		8.406	2.62		11.407	1.778		15.554	1.044
3.654	3.802		8.576	2.634		11.551	1.816		17.085	1.134
3.342	3.817		8.329	2.62		11.267	1.752		14.964	0.99895
5.317	4.86		10.264	2.582		14.206	2.785		32.907	4.872
4.829	7.477		11.221	2.69		14.737	4.139		41.351	14.186
5.741	8.127		11.61	2.82		15.381	4.95		48.39	14.596
3.308	3.814		8.3	2.62		11.191	1.742		14.748	0.98297
4.846	3.94		9.492	2.511		12.523	2.178		25.979	2.061
3.498	3.816		8.455	2.621		11.476	1.795		15.924	1.059
4.218	3.803		9.040	2.544		11.912	1.948		19.813	1.483
4.816	7.234		11.145	2.674		14.704	3.99		39.735	14.105
4.879	7.593		11.27	2.7		14.778	4.228		42.311	14.237
5.327	5.476		10.652	2.617		14.673	3.171		31.874	11.387
3.531	3.811		8.48	2.624		11.493	1.797		16.139	1.067
4.417	3.825		9.184	2.523		12.079	2.01		20.935	1.6429
5.148	7.873		11.422	2.745		15.0	4.489		45.165	14.371
4.902	3.965		9.559	2.512		12.641	2.221		26.974	2.1820
5.317	4.871		10.269	2.582		14.218	2.79		32.931	4.936
4.439	3.825		9.198	2.521		12.095	2.014		21.097	1.653
3.847	3.791		8.735	2.621		11.662	1.851		18.487	1.255
4.476	3.833		9.223	2.519		12.128	2.029		21.384	1.685
3.494	3.816		8.451	2.62		11.472	1.792		15.897	1.056
5.227	5.96		10.859	2.629		14.726	3.448		33.473	13.417
3.453	3.821		8.42	2.621		11.428	1.782		15.652	1.046
5.1149	7.85		11.408	2.741		14.981	4.466		44.907	14.362
5.197	4.341		9.97	2.537		13.425	2.499		30.714	3.27
3.647	3.802		8.57	2.632		11.544	1.814		17.028	1.124
3.592	3.807		8.527	2.629		11.521	1.807		16.58	1.0969
3.29	3.81		8.283	2.621		11.134	1.738		14.628	0.97599
3.304	3.814		8.295	2.621		11.182	1.74		14.725	0.97899
4.938	3.994		9.624	2.513		12.728	2.255		27.702	2.306
5.231	7.924		11.455	2.757		15.066	4.56		45.78	14.393
3.429	3.821		8.401	2.619		11.401	1.775		15.525	1.039
5.221	4.4		10.011	2.5389		13.53	2.53		30.993	3.413
5.997	8.197		11.669	2.849		15.5	5.144		49.381	14.718
4.905	7.6380		11.291	2.707		14.806	4.263		42.711	14.26
3.431	3.8210		8.403	2.619		11.403	1.778		15.533	1.045
3.906	3.791		8.782	2.608		11.691	1.863		18.694	1.283
5.218	4.395		10.0	2.538		13.521	2.525		30.965	3.399
5.215	6.0		10.873	2.631		14.724	3.471		33.707	13.482
5.314	4.847		10.257	2.58		14.19	2.775		32.864	4.8
4.653	3.878		9.338	2.514		12.284	2.089		23.088	1.8270
3.941	3.79		8.811	2.597		11.711	1.87		18.791	1.3
4.119	3.797		8.96	2.559		11.832	1.917		19.39	1.407
4.989	4.054		9.716	2.514		12.865	2.3109		28.556	2.48
4.933	3.992		9.617	2.514		12.719	2.251		27.632	2.292
5.254	4.515		10.079	2.5489		13.724	2.59		31.53	3.643
3.395	3.822		8.375	2.621		11.356	1.769		15.302	1.029
4.489	3.835		9.232	2.517		12.138	2.032		21.493	1.6940
6.121	8.224		11.692	2.858		15.543	5.232		49.809	14.765
4.088	3.794		8.934	2.566		11.811	1.909		19.273	1.388
4.371	3.8169		9.153	2.525		12.038	1.994		20.637	1.6029
4.412	3.824		9.181	2.522		12.073	2.0		20.906	1.636
3.677	3.798		8.591	2.633		11.558	1.818		17.256	1.143
3.366	3.8210		8.349	2.62		11.311	1.760		15.11	1.015
5.533	8.058		11.556	2.795		15.268	4.79		47.488	14.502
5.094	4.172		9.847	2.524		13.118	2.403		29.695	2.796
5.245	4.4869		10.062	2.547		13.677	2.573		31.388	3.588
4.878	7.5909		11.27	2.701		14.782	4.227		42.29	14.238
5.197	4.342		9.971	2.537		13.426	2.499		30.717	3.273
5.013	4.085		9.757	2.5190		12.936	2.339		28.916	2.558
5.337	5.314		10.55	2.616		14.59	3.068		32.283	9.6459
3.815	3.793		8.708	2.631		11.645	1.847		18.354	1.239
5.372	7.996		11.509	2.776		15.167	4.673		46.668	14.446
3.73	3.794		8.632	2.639		11.59	1.827		17.723	1.181
5.269	5.81		10.808	2.624		14.732	3.374		32.699	13.107
4.884	3.955		9.536	2.513		12.599	2.207		26.647	2.14
5.101	4.182		9.8540	2.5239		13.133	2.409		29.756	2.818
4.854	7.05		11.1	2.663		14.696	3.9		38.727	14.056
5.11	4.194		9.864	2.524		13.154	2.416		29.843	2.8479
4.846	7.087		11.109	2.666		14.7	3.917		38.931	14.067
3.267	3.806		8.26	2.625		11.065	1.729		14.498	0.962
4.808	7.353		11.178	2.68		14.717	4.058		40.477	14.142
5.327	4.928		10.302	2.5909		14.283	2.827		33.078	5.328
4.949	4.0		9.644	2.512		12.756	2.267		27.892	2.344
5.2050	6.031		10.883	2.632		14.726	3.4869		33.874	13.523
4.675	3.886		9.355	2.512		12.307	2.098		23.377	1.853
4.85	7.069		11.105	2.665		14.699	3.909		38.844	14.062
4.91	7.647		11.294	2.709		14.81	4.27		42.782	14.264
5.297	4.748		10.204	2.569		14.066	2.716		32.515	4.32
4.892	3.965		9.548	2.514		12.621	2.214		26.833	2.162
5.303	5.666		10.75	2.619		14.737	3.299		32.128	12.612
3.374	3.821		8.357	2.62		11.325	1.761		15.169	1.019
4.861	3.949		9.508	2.512		12.552	2.1889		26.24	2.092
4.758	3.914		9.4150	2.513		12.398	2.133		24.48	1.944
5.335	5.35		10.573	2.6149		14.611	3.088		32.148	10.079
5.044	4.12		9.803	2.518		13.022	2.369		29.306	2.6640
4.935	6.802		11.05	2.655		14.699	3.796		37.503	13.984
4.685	3.886		9.362	2.512		12.317	2.102		23.505	1.862
5.304	5.663		10.75	2.62		14.738	3.298		32.126	12.605
5.298	4.738		10.2	2.569		14.055	2.712		32.485	4.2750
4.86	7.023		11.093	2.663		14.695	3.888		38.562	14.049
4.375	3.817		9.155	2.525		12.042	1.996		20.662	1.607
3.292	3.81		8.284	2.62		11.146	1.736		14.648	0.971
5.058	4.134		9.815	2.521		13.048	2.38		29.416	2.696
3.313	3.814		8.303	2.621		11.203	1.7429		14.779	0.98402
4.821	7.458		11.213	2.688		14.733	4.124		41.191	14.179
